Date, Timestamp, Ticker, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, BuyQuantity, SellQuantity, TotalTradeCount, BuyTradeCount, SellTradeCount
20150616, 10:41:00.000, IBM, 166.20, 166.40, 166.18, 166.40, 1201072.71, 7223, 0, 0, 79, 0, 0
20150616, 10:42:00.000, IBM, 166.40, 166.48, 166.35, 166.48, 2519531.62, 15141, 0, 0, 131, 0, 0
20150616, 10:43:00.000, IBM, 166.48, 166.49, 166.37, 166.39, 3965080.40, 23827, 0, 0, 186, 0, 0
20150616, 10:44:00.000, IBM, 166.38, 166.44, 166.33, 166.33, 2064233.63, 12405, 0, 0, 118, 0, 0
20150616, 10:45:00.000, IBM, 166.35, 166.42, 166.35, 166.42, 739728.96, 4446, 0, 0, 58, 0, 0
20150616, 10:46:00.000, IBM, 166.40, 166.42, 166.37, 166.39, 288694.23, 1735, 0, 0, 23, 0, 0
20150616, 10:47:00.000, IBM, 166.39, 166.41, 166.32, 166.40, 2341036.22, 14072, 0, 0, 148, 0, 0
20150616, 10:48:00.000, IBM, 166.41, 166.41, 166.34, 166.38, 507424.18, 3050, 0, 0, 29, 0, 0
20150616, 10:49:00.000, IBM, 166.39, 166.39, 166.35, 166.35, 498929.44, 2999, 0, 0, 38, 0, 0
20150616, 10:50:00.000, IBM, 166.36, 166.36, 166.23, 166.24, 845628.52, 5085, 0, 0, 57, 0, 0
20150616, 10:51:00.000, IBM, 166.23, 166.23, 166.16, 166.17, 1242306.94, 7475, 0, 0, 79, 0, 0
20150616, 10:52:00.000, IBM, 166.15, 166.16, 166.03, 166.03, 1814575.11, 10924, 0, 0, 110, 0, 0
20150616, 10:53:00.000, IBM, 166.07, 166.07, 165.92, 165.97, 2347782.85, 14144, 0, 0, 145, 0, 0
20150616, 10:54:00.000, IBM, 166.02, 166.14, 166.00, 166.12, 656774.50, 3955, 0, 0, 42, 0, 0
20150616, 10:55:00.000, IBM, 166.09, 166.18, 166.05, 166.14, 700648.91, 4218, 0, 0, 53, 0, 0
20150616, 10:56:00.000, IBM, 166.14, 166.14, 166.00, 166.02, 2719365.89, 16378, 0, 0, 80, 0, 0
20150616, 10:57:00.000, IBM, 166.03, 166.12, 165.91, 165.97, 3100335.09, 18675, 0, 0, 156, 0, 0
20150616, 10:58:00.000, IBM, 165.97, 166.00, 165.92, 165.96, 393498.39, 2371, 0, 0, 31, 0, 0
20150616, 10:59:00.000, IBM, 165.96, 166.03, 165.96, 165.97, 1580687.36, 9522, 0, 0, 61, 0, 0
20150616, 11:00:00.000, IBM, 165.99, 166.03, 165.95, 165.99, 1346499.00, 8112, 0, 0, 72, 0, 0
20150616, 11:01:00.000, IBM, 165.96, 166.05, 165.94, 166.05, 2297999.71, 13842, 0, 0, 103, 0, 0
20150616, 11:02:00.000, IBM, 166.02, 166.11, 165.97, 166.03, 4923966.46, 29656, 0, 0, 130, 0, 0
20150616, 11:03:00.000, IBM, 166.03, 166.08, 165.98, 166.00, 3623964.10, 21828, 0, 0, 159, 0, 0
